,experiment,date,hour,device_make,platform_os,browser,aware
2,exposed,2020-07-05,2,E5823,6,Chrome Mobile WebView,False
16,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,True
20,exposed,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,False
23,control,2020-07-08,4,Samsung SM-A202F,6,Facebook,True
27,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
39,exposed,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,False
45,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
46,exposed,2020-07-05,6,I3312,6,Chrome Mobile WebView,False
48,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
56,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,False
62,control,2020-07-03,15,MRD-LX1,6,Facebook,False
65,exposed,2020-07-09,13,Samsung SM-G935F,6,Facebook,True
80,exposed,2020-07-09,20,Moto $2,6,Chrome Mobile WebView,False
89,exposed,2020-07-05,6,Generic Smartphone,6,Chrome Mobile,True
95,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,False
99,control,2020-07-06,2,Samsung SM-J600FN,6,Chrome Mobile WebView,False
100,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,True
101,control,2020-07-03,15,Samsung SM-A105FN,6,Samsung Internet,False
109,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,False
118,control,2020-07-09,20,Samsung SM-G930F,6,Facebook,True
128,exposed,2020-07-04,11,Samsung SM-G981B,6,Chrome Mobile WebView,True
135,exposed,2020-07-05,19,Generic Smartphone,6,Chrome Mobile,False
141,exposed,2020-07-10,5,Generic Smartphone,6,Chrome Mobile,False
144,exposed,2020-07-05,2,Generic Smartphone,6,Chrome Mobile WebView,True
157,control,2020-07-07,15,Generic Smartphone,6,Chrome Mobile,True
160,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,False
162,control,2020-07-03,15,ELE-L09,6,Facebook,True
192,exposed,2020-07-09,1,Generic Smartphone,6,Chrome Mobile,True
201,control,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,True
223,exposed,2020-07-05,0,Generic Smartphone,6,Chrome Mobile WebView,False
225,exposed,2020-07-09,20,Samsung SM-G950F,6,Samsung Internet,False
226,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,True
240,control,2020-07-08,22,Generic Smartphone,6,Chrome Mobile,False
241,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile WebView,True
244,exposed,2020-07-08,6,Generic Smartphone,6,Chrome Mobile,True
249,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
253,control,2020-07-05,19,Generic Smartphone,6,Chrome Mobile,False
258,exposed,2020-07-05,6,Samsung SM-G960F,6,Facebook,False
259,exposed,2020-07-07,3,Samsung SM-N960F,6,Samsung Internet,False
267,exposed,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,True
282,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,True
292,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,True
299,exposed,2020-07-09,19,VOG-L09,6,Facebook,False
300,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
301,exposed,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,True
305,exposed,2020-07-05,21,Generic Smartphone,6,Chrome Mobile,True
310,control,2020-07-05,10,Samsung SM-G960F,6,Facebook,True
323,exposed,2020-07-04,5,Samsung SM-G960F,6,Chrome Mobile WebView,False
335,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
352,control,2020-07-08,14,Generic Smartphone,6,Chrome Mobile,True
355,exposed,2020-07-08,22,Generic Smartphone,6,Chrome Mobile,False
356,control,2020-07-06,8,Samsung SM-A705FN,6,Facebook,False
357,control,2020-07-03,15,Samsung SM-A202F,6,Chrome Mobile WebView,True
358,exposed,2020-07-08,21,Samsung SM-A405FN,6,Chrome Mobile WebView,True
362,control,2020-07-03,15,LG-$2,6,Chrome Mobile,True
366,exposed,2020-07-08,21,Generic Smartphone,6,Chrome Mobile WebView,False
393,exposed,2020-07-04,0,Samsung SM-A320FL,6,Chrome Mobile WebView,True
401,exposed,2020-07-05,3,Generic Smartphone,6,Chrome Mobile,True
404,exposed,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,False
415,exposed,2020-07-10,2,Samsung SM-G950F,6,Facebook,False
418,control,2020-07-03,15,Samsung SM-G950F,6,Chrome Mobile WebView,True
422,control,2020-07-03,15,ANE-LX1,6,Facebook,False
430,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,True
434,control,2020-07-09,2,Generic Smartphone,6,Chrome Mobile,False
438,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
439,exposed,2020-07-09,0,Samsung SM-A705FN,6,Samsung Internet,False
447,exposed,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,False
466,control,2020-07-03,15,POT-LX1,6,Facebook,False
471,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,False
475,control,2020-07-03,15,Samsung SM-G973F,6,Samsung Internet,False
484,exposed,2020-07-09,6,Samsung SM-A505FN,6,Samsung Internet,True
486,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
488,control,2020-07-03,15,Samsung SM-G960F,6,Samsung Internet,True
510,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
514,control,2020-07-05,0,Generic Smartphone,6,Chrome Mobile,True
527,control,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,True
529,control,2020-07-05,15,Generic Smartphone,6,Chrome Mobile,False
549,exposed,2020-07-09,14,Generic Smartphone,6,Chrome Mobile WebView,True
554,control,2020-07-10,12,Generic Smartphone,6,Chrome Mobile,False
556,control,2020-07-04,21,Samsung SM-A705FN,6,Facebook,False
558,control,2020-07-08,22,Samsung SM-G950F,6,Facebook,True
559,exposed,2020-07-03,10,Generic Smartphone,6,Chrome Mobile,False
563,control,2020-07-07,3,Generic Smartphone,6,Chrome Mobile,True
564,control,2020-07-10,13,Samsung SM-G973F,6,Samsung Internet,True
587,exposed,2020-07-03,8,Samsung SM-A300FU,6,Chrome Mobile WebView,True
633,control,2020-07-10,2,Samsung SM-A520F,6,Samsung Internet,False
637,control,2020-07-10,9,Generic Smartphone,6,Chrome Mobile,False
642,control,2020-07-03,15,Samsung SM-G930F,6,Facebook,True
650,exposed,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,False
652,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile WebView,True
653,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
654,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile WebView,True
658,control,2020-07-09,15,Generic Smartphone,6,Chrome Mobile,False
663,exposed,2020-07-03,0,Generic Smartphone,6,Chrome Mobile,False
668,exposed,2020-07-10,17,Generic Smartphone,6,Chrome Mobile,True
671,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
682,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
685,control,2020-07-05,10,Generic Smartphone,6,Chrome Mobile,False
689,exposed,2020-07-09,16,Generic Smartphone,6,Chrome Mobile,False
698,exposed,2020-07-10,12,Generic Smartphone,6,Chrome Mobile,False
701,exposed,2020-07-09,19,Generic Smartphone,6,Chrome Mobile,True
717,control,2020-07-03,15,Samsung SM-A750FN,6,Chrome Mobile WebView,True
718,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,True
726,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,False
728,exposed,2020-07-05,11,Generic Smartphone,6,Chrome Mobile WebView,False
738,control,2020-07-10,5,Generic Smartphone,6,Chrome Mobile,True
751,control,2020-07-03,15,OnePlus ONEPLUS A5000,6,Facebook,True
759,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,False
762,control,2020-07-03,15,STF-L09,6,Facebook,False
763,exposed,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,False
764,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,True
766,exposed,2020-07-09,6,I3312,6,Chrome Mobile WebView,False
771,exposed,2020-07-10,5,Moto $2,6,Chrome Mobile WebView,False
775,exposed,2020-07-09,19,HTC 10,6,Chrome Mobile,False
781,exposed,2020-07-04,16,Samsung SM-J610FN,6,Chrome Mobile WebView,True
783,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
787,exposed,2020-07-03,1,Generic Smartphone,6,Chrome Mobile,False
794,control,2020-07-03,19,iPhone,6,Mobile Safari,False
797,control,2020-07-07,8,Generic Smartphone,6,Chrome Mobile WebView,False
798,exposed,2020-07-10,15,Samsung SM-G900F,6,Chrome Mobile WebView,True
799,exposed,2020-07-03,12,VOG-L29,6,Facebook,False
801,control,2020-07-03,15,XiaoMi Redmi Note 7,6,Chrome Mobile WebView,False
802,exposed,2020-07-05,19,Generic Smartphone,6,Chrome Mobile,False
806,control,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,False
823,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,True
833,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,False
837,exposed,2020-07-06,0,POT-LX1,6,Chrome Mobile WebView,True
838,exposed,2020-07-06,7,Samsung SM-G981B,6,Facebook,False
839,exposed,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,True
846,control,2020-07-06,8,Samsung SM-A520F,6,Chrome Mobile WebView,False
862,control,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,False
878,exposed,2020-07-06,3,Generic Smartphone,6,Chrome Mobile,False
879,control,2020-07-06,3,Nokia undefined$2$3,6,Chrome Mobile,True
880,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,False
893,control,2020-07-07,16,POT-LX1,6,Facebook,False
896,exposed,2020-07-08,5,ELE-L29,6,Facebook,False
901,control,2020-07-03,15,Huawei Browser,6,Chrome,False
909,control,2020-07-03,15,Samsung SM-A202F,6,Samsung Internet,False
929,exposed,2020-07-07,23,Generic Smartphone,6,Chrome Mobile,True
934,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,False
945,exposed,2020-07-08,17,Samsung SM-G955F,6,Chrome Mobile WebView,False
